,Manulife,Sunlife,Desjardins insurance,auto insurance,health insurance,life insurance	,geico,dental insurance,farmers insurance,travel insurance
2020-01-01,26.0,25.0,0.0,23.0,49.0,0.0,0.0,0.0,0.0,61.0
2020-01-02,29.0,48.0,47.0,19.0,47.0,29.0,49.0,54.0,22.0,34.0
2020-01-03,70.0,28.0,30.0,37.0,45.0,28.0,0.0,51.0,0.0,24.0
2020-01-04,30.0,16.0,0.0,30.0,38.0,0.0,51.0,0.0,0.0,35.0
2020-01-05,30.0,32.0,0.0,20.0,85.0,23.0,50.0,55.0,0.0,19.0
2020-01-06,45.0,54.0,0.0,30.0,69.0,68.0,0.0,0.0,0.0,32.0
2020-01-07,59.0,37.0,0.0,18.0,52.0,28.0,0.0,100.0,0.0,18.0
2020-01-08,31.0,75.0,43.0,45.0,51.0,27.0,0.0,0.0,0.0,23.0
2020-01-09,32.0,57.0,44.0,24.0,52.0,48.0,0.0,0.0,20.0,28.0
2020-01-10,41.0,37.0,29.0,31.0,26.0,42.0,46.0,51.0,0.0,12.0
2020-01-11,29.0,29.0,32.0,59.0,28.0,30.0,0.0,55.0,33.0,39.0
2020-01-12,35.0,30.0,30.0,19.0,45.0,35.0,0.0,0.0,0.0,16.0
2020-01-13,37.0,38.0,67.0,25.0,56.0,13.0,0.0,91.0,0.0,16.0
2020-01-14,53.0,44.0,26.0,33.0,47.0,19.0,42.0,45.0,18.0,16.0
2020-01-15,53.0,63.0,100.0,41.0,51.0,67.0,0.0,0.0,0.0,19.0
2020-01-16,59.0,52.0,29.0,18.0,52.0,48.0,0.0,51.0,0.0,24.0
2020-01-17,55.0,28.0,30.0,25.0,53.0,14.0,0.0,51.0,20.0,18.0
2020-01-18,46.0,41.0,33.0,20.0,44.0,15.0,0.0,56.0,22.0,18.0
2020-01-19,15.0,19.0,0.0,30.0,28.0,30.0,100.0,0.0,22.0,13.0
2020-01-20,31.0,71.0,29.0,36.0,26.0,14.0,45.0,0.0,0.0,20.0
2020-01-21,44.0,80.0,29.0,18.0,51.0,20.0,0.0,49.0,20.0,17.0
2020-01-22,54.0,64.0,58.0,0.0,52.0,41.0,46.0,0.0,20.0,18.0
2020-01-23,59.0,64.0,73.0,18.0,35.0,41.0,0.0,50.0,27.0,52.0
2020-01-24,46.0,60.0,59.0,37.0,44.0,70.0,0.0,0.0,47.0,28.0
2020-01-25,35.0,22.0,0.0,27.0,29.0,15.0,0.0,0.0,30.0,27.0
2020-01-26,36.0,21.0,0.0,39.0,56.0,15.0,49.0,0.0,100.0,25.0
2020-01-27,60.0,42.0,0.0,26.0,25.0,39.0,43.0,47.0,25.0,17.0
2020-01-28,100.0,52.0,28.0,35.0,100.0,13.0,44.0,48.0,19.0,28.0
2020-01-29,35.0,58.0,71.0,35.0,51.0,47.0,0.0,49.0,0.0,39.0
2020-01-30,59.0,49.0,0.0,27.0,52.0,42.0,46.0,51.0,0.0,36.0
2020-01-31,64.0,53.0,30.0,37.0,53.0,28.0,0.0,51.0,20.0,18.0
2020-02-01,45.0,29.0,33.0,20.0,58.0,31.0,51.0,56.0,0.0,27.0
2020-02-02,15.0,16.0,0.0,20.0,28.0,22.0,0.0,54.0,0.0,32.0
2020-02-03,20.0,63.0,52.0,16.0,54.0,24.0,0.0,59.0,18.0,16.0
2020-02-04,57.0,48.0,0.0,41.0,59.0,40.0,45.0,49.0,0.0,19.0
2020-02-05,53.0,44.0,0.0,24.0,39.0,27.0,0.0,0.0,0.0,35.0
2020-02-06,27.0,19.0,43.0,30.0,26.0,27.0,0.0,49.0,0.0,35.0
2020-02-07,38.0,56.0,55.0,17.0,57.0,46.0,0.0,0.0,38.0,30.0
2020-02-08,47.0,28.0,0.0,21.0,30.0,16.0,0.0,0.0,0.0,27.0
2020-02-09,35.0,16.0,0.0,27.0,43.0,15.0,0.0,55.0,0.0,19.0
2020-02-10,39.0,60.0,86.0,27.0,64.0,20.0,0.0,97.0,0.0,27.0
2020-02-11,35.0,57.0,0.0,29.0,25.0,74.0,0.0,49.0,87.0,17.0
2020-02-12,76.0,82.0,0.0,0.0,34.0,13.0,45.0,49.0,0.0,12.0
2020-02-13,49.0,58.0,43.0,48.0,38.0,14.0,45.0,97.0,0.0,23.0
2020-02-14,40.0,56.0,29.0,36.0,52.0,14.0,0.0,0.0,0.0,18.0
2020-02-15,30.0,19.0,32.0,100.0,38.0,15.0,0.0,55.0,0.0,26.0
2020-02-16,58.0,37.0,0.0,49.0,0.0,15.0,49.0,0.0,0.0,26.0
2020-02-17,34.0,56.0,0.0,35.0,58.0,65.0,44.0,0.0,19.0,23.0
2020-02-18,63.0,53.0,54.0,25.0,49.0,58.0,0.0,70.0,19.0,22.0
2020-02-19,42.0,76.0,55.0,23.0,73.0,39.0,86.0,0.0,38.0,17.0
2020-02-20,60.0,63.0,70.0,43.0,41.0,39.0,44.0,0.0,0.0,17.0
2020-02-21,61.0,41.0,42.0,35.0,76.0,13.0,44.0,49.0,19.0,23.0
2020-02-22,59.0,43.0,31.0,39.0,42.0,15.0,50.0,0.0,0.0,17.0
2020-02-23,29.0,29.0,31.0,39.0,27.0,15.0,0.0,0.0,21.0,19.0
2020-02-24,51.0,46.0,28.0,17.0,57.0,39.0,43.0,47.0,0.0,22.0
2020-02-25,59.0,74.0,27.0,51.0,32.0,26.0,0.0,47.0,0.0,26.0
2020-02-26,57.0,82.0,0.0,25.0,23.0,38.0,41.0,45.0,0.0,25.0
2020-02-27,47.0,51.0,50.0,16.0,37.0,42.0,39.0,0.0,29.0,24.0
2020-02-28,66.0,76.0,57.0,18.0,50.0,0.0,45.0,48.0,0.0,31.0
2020-02-29,34.0,75.0,32.0,26.0,56.0,30.0,0.0,0.0,0.0,19.0
2020-03-01,22.0,32.0,0.0,45.0,56.0,30.0,0.0,0.0,0.0,32.0
2020-03-02,68.0,74.0,0.0,43.0,0.0,19.0,0.0,0.0,0.0,26.0
2020-03-03,60.0,77.0,56.0,43.0,25.0,66.0,44.0,0.0,32.0,30.0
2020-03-04,26.0,100.0,42.0,26.0,24.0,52.0,0.0,95.0,0.0,11.0
2020-03-05,53.0,48.0,71.0,44.0,76.0,20.0,45.0,0.0,0.0,43.0
2020-03-06,40.0,62.0,56.0,59.0,63.0,13.0,0.0,49.0,0.0,27.0
2020-03-07,44.0,45.0,32.0,33.0,56.0,15.0,49.0,0.0,0.0,21.0
2020-03-08,24.0,28.0,61.0,38.0,45.0,36.0,0.0,0.0,0.0,33.0
2020-03-09,82.0,60.0,53.0,33.0,59.0,25.0,0.0,0.0,0.0,22.0
2020-03-10,64.0,72.0,0.0,38.0,31.0,18.0,0.0,0.0,0.0,25.0
2020-03-11,25.0,66.0,40.0,28.0,24.0,64.0,42.0,0.0,0.0,37.0
2020-03-12,89.0,88.0,39.0,32.0,58.0,49.0,41.0,0.0,0.0,53.0
2020-03-13,47.0,49.0,51.0,26.0,38.0,72.0,0.0,44.0,59.0,45.0
2020-03-14,29.0,55.0,63.0,19.0,41.0,44.0,0.0,0.0,0.0,25.0
2020-03-15,19.0,36.0,0.0,19.0,27.0,14.0,0.0,51.0,0.0,20.0
2020-03-16,56.0,74.0,0.0,24.0,46.0,18.0,0.0,44.0,0.0,21.0
2020-03-17,77.0,68.0,26.0,43.0,23.0,18.0,0.0,0.0,0.0,35.0
2020-03-18,53.0,62.0,26.0,16.0,71.0,100.0,42.0,45.0,73.0,25.0
2020-03-19,57.0,33.0,53.0,25.0,31.0,43.0,0.0,45.0,18.0,21.0
2020-03-20,32.0,32.0,0.0,24.0,57.0,18.0,0.0,44.0,0.0,26.0
2020-03-21,22.0,32.0,0.0,24.0,34.0,27.0,0.0,0.0,0.0,18.0
2020-03-22,40.0,34.0,0.0,18.0,43.0,13.0,0.0,98.0,0.0,17.0
2020-03-23,43.0,39.0,35.0,14.0,41.0,11.0,72.0,0.0,0.0,16.0
2020-03-24,70.0,32.0,25.0,31.0,45.0,36.0,39.0,43.0,17.0,10.0
2020-03-25,62.0,54.0,40.0,16.0,47.0,25.0,0.0,0.0,0.0,27.0
2020-03-26,40.0,33.0,26.0,27.0,23.0,25.0,0.0,0.0,0.0,18.0
2020-03-27,31.0,41.0,50.0,21.0,34.0,36.0,0.0,0.0,0.0,21.0
2020-03-28,40.0,17.0,29.0,45.0,26.0,13.0,45.0,0.0,20.0,35.0
2020-03-29,17.0,19.0,0.0,0.0,49.0,26.0,0.0,0.0,0.0,11.0
2020-03-30,57.0,41.0,25.0,30.0,44.0,35.0,39.0,42.0,17.0,10.0
2020-03-31,51.0,51.0,25.0,16.0,45.0,24.0,39.0,0.0,29.0,10.0
2020-04-01,34.0,48.0,24.0,25.0,55.0,29.0,0.0,42.0,0.0,40.0
2020-04-02,45.0,31.0,49.0,23.0,22.0,23.0,0.0,41.0,0.0,10.0
2020-04-03,46.0,23.0,49.0,23.0,44.0,35.0,0.0,42.0,0.0,10.0
2020-04-04,36.0,17.0,0.0,27.0,0.0,55.0,46.0,0.0,0.0,0.0
2020-04-05,12.0,18.0,0.0,25.0,24.0,12.0,0.0,46.0,0.0,0.0
2020-04-06,29.0,38.0,59.0,29.0,21.0,17.0,37.0,41.0,0.0,10.0
2020-04-07,45.0,31.0,49.0,53.0,0.0,23.0,0.0,42.0,42.0,15.0
2020-04-08,39.0,41.0,24.0,25.0,21.0,34.0,38.0,0.0,0.0,20.0
2020-04-09,50.0,29.0,35.0,15.0,31.0,22.0,36.0,40.0,0.0,10.0
2020-04-10,18.0,28.0,25.0,39.0,34.0,24.0,0.0,0.0,0.0,0.0
2020-04-11,25.0,20.0,27.0,34.0,24.0,13.0,42.0,46.0,0.0,15.0
2020-04-12,13.0,14.0,0.0,35.0,25.0,13.0,0.0,97.0,0.0,12.0
2020-04-13,23.0,21.0,74.0,46.0,22.0,12.0,0.0,0.0,0.0,10.0
2020-04-14,22.0,28.0,24.0,15.0,21.0,11.0,0.0,41.0,16.0,0.0
2020-04-15,59.0,18.0,60.0,22.0,36.0,34.0,0.0,0.0,0.0,16.0
2020-04-16,17.0,20.0,36.0,20.0,43.0,23.0,0.0,41.0,0.0,20.0
2020-04-17,38.0,27.0,0.0,25.0,54.0,23.0,0.0,0.0,0.0,10.0
2020-04-18,13.0,21.0,28.0,35.0,25.0,0.0,67.0,0.0,0.0,23.0
2020-04-19,16.0,15.0,0.0,24.0,23.0,25.0,0.0,45.0,0.0,0.0
2020-04-20,37.0,20.0,48.0,15.0,21.0,11.0,0.0,0.0,0.0,15.0
2020-04-21,33.0,26.0,24.0,20.0,42.0,28.0,0.0,40.0,16.0,14.0
2020-04-22,22.0,18.0,24.0,25.0,50.0,11.0,37.0,0.0,0.0,15.0
2020-04-23,30.0,18.0,37.0,15.0,43.0,23.0,38.0,0.0,0.0,10.0
2020-04-24,24.0,28.0,38.0,48.0,23.0,18.0,0.0,0.0,0.0,10.0
2020-04-25,27.0,12.0,0.0,18.0,26.0,28.0,46.0,50.0,0.0,12.0
2020-04-26,19.0,14.0,28.0,17.0,74.0,33.0,0.0,47.0,0.0,11.0
2020-04-27,45.0,20.0,48.0,15.0,21.0,45.0,0.0,0.0,0.0,10.0
2020-04-28,35.0,32.0,25.0,31.0,30.0,29.0,40.0,0.0,17.0,10.0
2020-04-29,48.0,24.0,26.0,16.0,30.0,24.0,0.0,0.0,0.0,17.0
2020-04-30,43.0,15.0,0.0,14.0,31.0,22.0,36.0,0.0,0.0,0.0
2020-05-01,23.0,36.0,25.0,21.0,33.0,12.0,39.0,0.0,0.0,0.0
2020-05-02,14.0,15.0,0.0,18.0,35.0,42.0,46.0,0.0,0.0,0.0
2020-05-03,22.0,14.0,29.0,0.0,38.0,13.0,0.0,49.0,0.0,17.0
2020-05-04,22.0,42.0,24.0,15.0,21.0,17.0,0.0,0.0,0.0,10.0
2020-05-05,28.0,29.0,68.0,28.0,40.0,21.0,36.0,0.0,21.0,15.0
2020-05-06,31.0,48.0,25.0,23.0,33.0,12.0,39.0,0.0,0.0,10.0
2020-05-07,31.0,29.0,50.0,15.0,44.0,35.0,0.0,0.0,0.0,10.0
2020-05-08,50.0,27.0,25.0,26.0,22.0,18.0,39.0,0.0,0.0,10.0
2020-05-09,21.0,18.0,27.0,41.0,47.0,19.0,0.0,46.0,0.0,54.0
2020-05-10,25.0,10.0,0.0,25.0,40.0,25.0,0.0,47.0,0.0,73.0
2020-05-11,30.0,31.0,24.0,15.0,43.0,11.0,38.0,0.0,0.0,56.0
2020-05-12,26.0,24.0,24.0,15.0,22.0,11.0,0.0,0.0,33.0,59.0
2020-05-13,38.0,19.0,25.0,31.0,77.0,47.0,0.0,0.0,0.0,47.0
2020-05-14,35.0,36.0,25.0,47.0,67.0,41.0,0.0,0.0,0.0,44.0
2020-05-15,34.0,23.0,0.0,0.0,29.0,35.0,0.0,42.0,0.0,56.0
2020-05-16,18.0,22.0,0.0,27.0,52.0,28.0,93.0,0.0,0.0,44.0
2020-05-17,14.0,25.0,0.0,19.0,45.0,0.0,0.0,51.0,0.0,53.0
2020-05-18,26.0,30.0,28.0,17.0,37.0,19.0,0.0,47.0,0.0,86.0
2020-05-19,29.0,40.0,0.0,15.0,44.0,12.0,38.0,42.0,0.0,100.0
2020-05-20,35.0,36.0,50.0,47.0,30.0,41.0,0.0,0.0,43.0,72.0
2020-05-21,30.0,17.0,0.0,24.0,23.0,18.0,81.0,0.0,0.0,52.0
