,Kijiji,Facebook Marketplace,Ebay,Craigslist,AKC,Ali Express	,Alibaba,Taobao,Etsy,OLX
2020-01-01,61.0,73.0,77.0,42.0,0.0,55.0,50.0,0.0,25.0,38.0
2020-01-02,80.0,64.0,79.0,55.0,64.0,0.0,69.0,0.0,30.0,33.0
2020-01-03,72.0,40.0,73.0,42.0,0.0,51.0,51.0,0.0,34.0,0.0
2020-01-04,83.0,38.0,98.0,85.0,0.0,0.0,33.0,43.0,44.0,51.0
2020-01-05,76.0,42.0,83.0,53.0,0.0,0.0,49.0,0.0,51.0,50.0
2020-01-06,69.0,34.0,71.0,51.0,0.0,0.0,49.0,38.0,45.0,46.0
2020-01-07,68.0,34.0,74.0,63.0,0.0,33.0,45.0,0.0,25.0,31.0
2020-01-08,63.0,21.0,71.0,29.0,0.0,32.0,29.0,38.0,25.0,45.0
2020-01-09,63.0,51.0,57.0,66.0,0.0,49.0,39.0,0.0,37.0,61.0
2020-01-10,62.0,39.0,66.0,53.0,61.0,50.0,40.0,0.0,38.0,63.0
2020-01-11,77.0,63.0,86.0,61.0,66.0,48.0,49.0,0.0,40.0,56.0
2020-01-12,71.0,44.0,68.0,53.0,0.0,34.0,71.0,0.0,46.0,32.0
2020-01-13,70.0,24.0,75.0,61.0,0.0,45.0,50.0,72.0,31.0,28.0
2020-01-14,66.0,42.0,69.0,40.0,54.0,29.0,36.0,0.0,47.0,28.0
2020-01-15,67.0,37.0,68.0,72.0,0.0,32.0,87.0,38.0,28.0,30.0
2020-01-16,70.0,34.0,69.0,26.0,59.0,98.0,59.0,39.0,40.0,31.0
2020-01-17,63.0,53.0,62.0,41.0,0.0,34.0,71.0,79.0,30.0,32.0
2020-01-18,70.0,53.0,65.0,46.0,0.0,37.0,61.0,44.0,28.0,69.0
2020-01-19,71.0,57.0,85.0,57.0,0.0,36.0,57.0,0.0,39.0,0.0
2020-01-20,66.0,34.0,70.0,47.0,0.0,48.0,66.0,38.0,38.0,0.0
2020-01-21,68.0,51.0,60.0,55.0,0.0,43.0,73.0,39.0,40.0,40.0
2020-01-22,70.0,34.0,74.0,33.0,0.0,0.0,54.0,0.0,29.0,31.0
2020-01-23,60.0,56.0,66.0,55.0,0.0,55.0,89.0,39.0,45.0,0.0
2020-01-24,67.0,39.0,71.0,34.0,0.0,34.0,60.0,0.0,36.0,31.0
2020-01-25,70.0,48.0,66.0,70.0,0.0,74.0,44.0,43.0,36.0,35.0
2020-01-26,78.0,68.0,77.0,79.0,0.0,71.0,42.0,0.0,32.0,33.0
2020-01-27,75.0,28.0,63.0,52.0,0.0,31.0,42.0,0.0,34.0,39.0
2020-01-28,71.0,37.0,51.0,46.0,0.0,32.0,38.0,38.0,29.0,30.0
2020-01-29,66.0,46.0,50.0,62.0,0.0,32.0,54.0,0.0,29.0,61.0
2020-01-30,64.0,39.0,61.0,63.0,0.0,33.0,40.0,78.0,16.0,0.0
2020-01-31,70.0,35.0,69.0,60.0,60.0,67.0,55.0,0.0,32.0,31.0
2020-02-01,87.0,48.0,72.0,100.0,0.0,56.0,67.0,88.0,42.0,35.0
2020-02-02,87.0,60.0,72.0,68.0,0.0,36.0,54.0,42.0,36.0,33.0
2020-02-03,67.0,42.0,56.0,52.0,0.0,0.0,92.0,0.0,28.0,82.0
2020-02-04,68.0,21.0,73.0,80.0,59.0,65.0,73.0,0.0,38.0,30.0
2020-02-05,69.0,34.0,60.0,40.0,0.0,32.0,78.0,0.0,27.0,30.0
2020-02-06,70.0,42.0,65.0,47.0,0.0,65.0,54.0,0.0,29.0,46.0
2020-02-07,64.0,28.0,58.0,38.0,0.0,62.0,47.0,0.0,34.0,29.0
2020-02-08,74.0,44.0,62.0,47.0,69.0,95.0,85.0,0.0,41.0,35.0
2020-02-09,82.0,52.0,66.0,56.0,0.0,72.0,27.0,43.0,33.0,34.0
2020-02-10,59.0,37.0,75.0,68.0,0.0,32.0,48.0,0.0,27.0,59.0
2020-02-11,63.0,37.0,57.0,64.0,57.0,32.0,81.0,38.0,46.0,49.0
2020-02-12,72.0,42.0,58.0,43.0,0.0,0.0,49.0,0.0,31.0,61.0
2020-02-13,69.0,30.0,51.0,36.0,0.0,54.0,83.0,0.0,31.0,30.0
2020-02-14,62.0,42.0,68.0,37.0,0.0,33.0,54.0,39.0,39.0,31.0
2020-02-15,78.0,76.0,63.0,66.0,0.0,0.0,44.0,44.0,33.0,51.0
2020-02-16,85.0,56.0,71.0,80.0,0.0,36.0,75.0,0.0,34.0,0.0
2020-02-17,70.0,24.0,72.0,87.0,56.0,63.0,99.0,0.0,29.0,58.0
2020-02-18,69.0,16.0,67.0,91.0,0.0,62.0,60.0,0.0,43.0,29.0
2020-02-19,67.0,20.0,59.0,48.0,55.0,46.0,42.0,37.0,30.0,29.0
2020-02-20,66.0,41.0,66.0,60.0,57.0,63.0,52.0,0.0,40.0,0.0
2020-02-21,68.0,25.0,70.0,40.0,0.0,64.0,53.0,0.0,27.0,89.0
2020-02-22,77.0,41.0,66.0,84.0,65.0,70.0,43.0,42.0,49.0,33.0
2020-02-23,75.0,27.0,76.0,51.0,0.0,35.0,58.0,0.0,41.0,33.0
2020-02-24,68.0,32.0,67.0,59.0,0.0,0.0,42.0,37.0,35.0,29.0
2020-02-25,68.0,44.0,60.0,48.0,0.0,61.0,55.0,0.0,31.0,43.0
2020-02-26,65.0,58.0,58.0,37.0,54.0,30.0,54.0,36.0,30.0,28.0
2020-02-27,57.0,34.0,65.0,42.0,0.0,29.0,48.0,0.0,30.0,27.0
2020-02-28,61.0,25.0,56.0,50.0,0.0,48.0,43.0,38.0,33.0,0.0
2020-02-29,77.0,46.0,76.0,72.0,0.0,71.0,48.0,42.0,21.0,0.0
2020-03-01,86.0,41.0,85.0,48.0,0.0,47.0,58.0,0.0,38.0,33.0
2020-03-02,73.0,12.0,74.0,67.0,0.0,47.0,33.0,0.0,34.0,58.0
2020-03-03,72.0,57.0,68.0,46.0,0.0,31.0,47.0,0.0,33.0,44.0
2020-03-04,73.0,28.0,62.0,52.0,0.0,62.0,33.0,37.0,32.0,58.0
2020-03-05,76.0,54.0,68.0,47.0,0.0,32.0,53.0,38.0,40.0,60.0
2020-03-06,70.0,50.0,67.0,47.0,0.0,65.0,58.0,0.0,32.0,45.0
2020-03-07,85.0,65.0,85.0,60.0,0.0,60.0,32.0,0.0,30.0,100.0
2020-03-08,89.0,33.0,71.0,66.0,0.0,34.0,36.0,0.0,35.0,32.0
2020-03-09,76.0,58.0,66.0,47.0,0.0,30.0,72.0,35.0,41.0,28.0
2020-03-10,67.0,34.0,72.0,40.0,0.0,58.0,40.0,0.0,38.0,69.0
2020-03-11,71.0,42.0,65.0,85.0,0.0,46.0,60.0,0.0,25.0,29.0
2020-03-12,59.0,23.0,56.0,36.0,0.0,29.0,57.0,0.0,25.0,55.0
2020-03-13,53.0,30.0,58.0,42.0,0.0,29.0,39.0,34.0,15.0,27.0
2020-03-14,80.0,27.0,61.0,55.0,0.0,0.0,37.0,0.0,25.0,33.0
2020-03-15,76.0,48.0,61.0,49.0,0.0,34.0,30.0,40.0,35.0,0.0
2020-03-16,60.0,23.0,55.0,36.0,0.0,0.0,62.0,35.0,17.0,55.0
2020-03-17,58.0,12.0,50.0,46.0,0.0,0.0,75.0,70.0,24.0,28.0
2020-03-18,53.0,23.0,63.0,40.0,0.0,0.0,27.0,0.0,36.0,28.0
2020-03-19,56.0,41.0,52.0,37.0,54.0,30.0,36.0,0.0,22.0,0.0
2020-03-20,51.0,30.0,70.0,32.0,0.0,29.0,43.0,0.0,33.0,54.0
2020-03-21,60.0,38.0,68.0,51.0,0.0,0.0,59.0,0.0,29.0,0.0
2020-03-22,65.0,34.0,69.0,62.0,0.0,32.0,44.0,39.0,47.0,30.0
2020-03-23,47.0,20.0,62.0,55.0,47.0,52.0,35.0,31.0,31.0,24.0
2020-03-24,46.0,19.0,52.0,32.0,0.0,29.0,39.0,0.0,22.0,27.0
2020-03-25,47.0,19.0,60.0,54.0,0.0,60.0,41.0,0.0,23.0,42.0
2020-03-26,52.0,27.0,56.0,66.0,0.0,0.0,33.0,0.0,38.0,0.0
2020-03-27,52.0,33.0,62.0,26.0,0.0,38.0,47.0,34.0,36.0,40.0
2020-03-28,62.0,25.0,70.0,40.0,0.0,49.0,25.0,39.0,41.0,61.0
2020-03-29,66.0,32.0,65.0,56.0,56.0,62.0,70.0,0.0,49.0,58.0
2020-03-30,53.0,29.0,64.0,34.0,0.0,28.0,78.0,0.0,31.0,26.0
2020-03-31,54.0,19.0,66.0,45.0,0.0,57.0,86.0,34.0,39.0,40.0
2020-04-01,51.0,14.0,62.0,34.0,50.0,0.0,100.0,0.0,33.0,0.0
2020-04-02,50.0,29.0,59.0,47.0,0.0,37.0,54.0,0.0,36.0,26.0
2020-04-03,48.0,11.0,63.0,51.0,0.0,85.0,42.0,100.0,49.0,53.0
2020-04-04,58.0,13.0,78.0,48.0,0.0,0.0,45.0,0.0,45.0,31.0
2020-04-05,64.0,47.0,75.0,37.0,0.0,45.0,82.0,0.0,56.0,0.0
2020-04-06,49.0,14.0,74.0,27.0,0.0,27.0,52.0,0.0,44.0,0.0
2020-04-07,52.0,11.0,57.0,56.0,0.0,28.0,62.0,0.0,55.0,26.0
2020-04-08,48.0,35.0,77.0,61.0,0.0,27.0,49.0,0.0,47.0,0.0
2020-04-09,53.0,31.0,82.0,35.0,0.0,44.0,55.0,0.0,59.0,25.0
2020-04-10,58.0,30.0,77.0,35.0,0.0,29.0,69.0,0.0,61.0,27.0
2020-04-11,66.0,52.0,87.0,34.0,0.0,30.0,69.0,36.0,54.0,38.0
2020-04-12,73.0,100.0,91.0,43.0,0.0,43.0,48.0,76.0,58.0,45.0
2020-04-13,63.0,33.0,99.0,37.0,0.0,0.0,63.0,0.0,52.0,26.0
2020-04-14,56.0,21.0,76.0,27.0,0.0,41.0,53.0,32.0,61.0,38.0
2020-04-15,64.0,32.0,77.0,55.0,49.0,36.0,86.0,32.0,34.0,0.0
2020-04-16,66.0,36.0,82.0,46.0,0.0,41.0,54.0,0.0,63.0,51.0
2020-04-17,65.0,47.0,74.0,34.0,0.0,28.0,62.0,33.0,61.0,43.0
2020-04-18,76.0,42.0,95.0,53.0,57.0,32.0,44.0,38.0,62.0,0.0
2020-04-19,81.0,31.0,99.0,36.0,0.0,44.0,53.0,35.0,69.0,28.0
2020-04-20,67.0,63.0,81.0,37.0,0.0,27.0,69.0,64.0,49.0,34.0
2020-04-21,66.0,55.0,89.0,30.0,0.0,35.0,68.0,31.0,84.0,33.0
2020-04-22,63.0,53.0,94.0,39.0,0.0,27.0,41.0,0.0,73.0,25.0
2020-04-23,64.0,50.0,68.0,28.0,0.0,41.0,70.0,0.0,76.0,26.0
2020-04-24,68.0,30.0,84.0,23.0,0.0,58.0,39.0,0.0,72.0,0.0
2020-04-25,74.0,47.0,79.0,78.0,59.0,33.0,55.0,39.0,100.0,0.0
2020-04-26,88.0,65.0,85.0,52.0,0.0,42.0,42.0,37.0,92.0,0.0
2020-04-27,71.0,39.0,70.0,33.0,0.0,82.0,61.0,32.0,82.0,25.0
2020-04-28,73.0,41.0,70.0,32.0,0.0,28.0,64.0,34.0,68.0,44.0
2020-04-29,71.0,52.0,73.0,38.0,51.0,100.0,43.0,67.0,75.0,40.0
2020-04-30,71.0,57.0,81.0,44.0,0.0,52.0,94.0,0.0,98.0,24.0
2020-05-01,75.0,44.0,69.0,41.0,0.0,38.0,59.0,33.0,83.0,26.0
2020-05-02,92.0,52.0,76.0,34.0,0.0,0.0,71.0,40.0,68.0,31.0
2020-05-03,100.0,33.0,80.0,39.0,0.0,42.0,38.0,38.0,74.0,90.0
2020-05-04,76.0,45.0,77.0,33.0,0.0,27.0,69.0,32.0,74.0,33.0
2020-05-05,74.0,43.0,76.0,43.0,0.0,38.0,42.0,0.0,65.0,48.0
2020-05-06,72.0,55.0,74.0,25.0,0.0,56.0,80.0,33.0,82.0,53.0
2020-05-07,68.0,37.0,63.0,47.0,0.0,28.0,68.0,34.0,56.0,26.0
2020-05-08,77.0,22.0,78.0,69.0,0.0,42.0,55.0,0.0,64.0,26.0
2020-05-09,86.0,82.0,72.0,37.0,0.0,45.0,54.0,35.0,84.0,28.0
2020-05-10,88.0,64.0,100.0,31.0,0.0,51.0,55.0,72.0,78.0,29.0
2020-05-11,73.0,36.0,73.0,40.0,0.0,28.0,82.0,32.0,76.0,77.0
2020-05-12,77.0,29.0,79.0,37.0,0.0,41.0,25.0,33.0,75.0,26.0
2020-05-13,75.0,51.0,64.0,22.0,100.0,28.0,59.0,0.0,63.0,39.0
2020-05-14,75.0,48.0,64.0,32.0,0.0,47.0,73.0,67.0,76.0,27.0
2020-05-15,85.0,32.0,76.0,22.0,0.0,64.0,29.0,33.0,65.0,0.0
2020-05-16,91.0,43.0,79.0,33.0,0.0,77.0,70.0,39.0,78.0,62.0
2020-05-17,99.0,80.0,84.0,34.0,0.0,34.0,46.0,40.0,80.0,32.0
2020-05-18,100.0,53.0,85.0,52.0,0.0,62.0,65.0,0.0,69.0,29.0
2020-05-19,82.0,69.0,64.0,28.0,0.0,56.0,46.0,0.0,77.0,26.0
2020-05-20,70.0,55.0,57.0,51.0,0.0,0.0,90.0,0.0,63.0,0.0
